Food_ID,Name,C_Type,Veg_Non,Describe
298,chineese peking duck,Chinese,non-veg,"ed chicken preparation. chicken, onion, ginger"
299,chineese wonton soup,Indian,veg,dried fish named kolim or jawla found in coastal maharashtra with onion and spices. usually eaten with bhakri or chapati
300,chineese scallion pancakes,Healthy Food,veg,riety of rice
301,chinese chicken mushroom chinese soup,Healthy Food,veg,riety of rice.
302,lotus root chinese soup,Chinese,non-veg,made with banana flower; an assamese specialty
303,ching po leung cantonese herb chinese soup,Healthy Food,veg,riety of rice.
304,chinese soup fish and tofu,Indian,veg,boiled rice
305,chinese soup judy's homemade chicken stock,Japanese,veg,curry
306,italian pizza,Snack,veg,"dried slices of bananas (fruits of herbaceous plants of the genus musa of the soft, sweet ""dessert banana"" variety), they can be covered with sugar or honey and have a sweet taste, or they can be fried in oil and spices and have a salty and/or spicy taste.[2]"
307,italian bottarga,Indian,non-veg,"made using indian spices, onion, tomatoes, green chilli, and had with bread, or parathas."
308,italian lasagna,Indian,veg,"dehusked rice which is flattened into flat light dry flakes, these flakes of rice swell when added to liquid, whether hot or cold, as they absorb water, milk, or any other liquids. the thicknesses of these flakes vary between almost translucently thin (the more expensive varieties) to nearly four times thicker than a normal rice grain."
309,italian fiorentina steak,Snack,veg,"grain made from rice; usually made by heating rice kernels under high pressure in the presence of steam, though the method of manufacture varies widely. pori (puffed rice) has been mentioned in various tamil literatures as an offering to hindu deities. offerings of pori and jaggery made to vinayagar (lord ganesh) are mentioned in the tiruppugazh, a 15th-century anthology of tamil religious songs, written by tamil poet arunagirinathar. pori is offered to hindu gods and goddesses in all poojas in the south indian states of kerala and tamil nadu."
, ,,,
